month,vtuber,avg_viewers
2025-07-01,mamilokuchii,94
2025-08-01,mamilokuchii,95
2025-09-01,mamilokuchii,85
2025-10-01,mamilokuchii,89
2025-11-01,mamilokuchii,101
2025-12-01,mamilokuchii,113
2026-01-01,mamilokuchii,98
2026-02-01,mamilokuchii,99
2026-03-01,mamilokuchii,102
2026-04-01,mamilokuchii,97
2026-05-01,mamilokuchii,92
2026-06-01,mamilokuchii,90
2023-12-01,caramellmia,32
2024-01-01,caramellmia,17
2024-02-01,caramellmia,19
2024-03-01,caramellmia,15
2024-04-01,caramellmia,11
2024-05-01,caramellmia,10
2024-06-01,caramellmia,10
2024-07-01,caramellmia,11
2024-08-01,caramellmia,8
2024-09-01,caramellmia,8
2024-10-01,caramellmia,12
2024-11-01,caramellmia,6
2024-12-01,caramellmia,9
2025-01-01,caramellmia,6
2025-02-01,caramellmia,15
2025-03-01,caramellmia,7
2025-04-01,caramellmia,7
2025-05-01,caramellmia,6
2025-06-01,caramellmia,6
2025-07-01,caramellmia,7
2023-04-01,noelvtuber_,30
2023-05-01,noelvtuber_,30
2023-06-01,noelvtuber_,31
2023-07-01,noelvtuber_,35
2023-08-01,noelvtuber_,36
2023-09-01,noelvtuber_,38
2023-10-01,noelvtuber_,33
2023-11-01,noelvtuber_,40
2023-12-01,noelvtuber_,40
2024-01-01,noelvtuber_,34
2024-02-01,noelvtuber_,28
2024-03-01,noelvtuber_,27
2024-04-01,noelvtuber_,26
2024-05-01,noelvtuber_,27
2024-06-01,noelvtuber_,27
2024-07-01,noelvtuber_,26
2024-08-01,noelvtuber_,33
2024-09-01,noelvtuber_,29
2024-10-01,noelvtuber_,26
2024-11-01,noelvtuber_,21
2024-12-01,noelvtuber_,28
2025-01-01,noelvtuber_,31
2025-02-01,noelvtuber_,29
2025-03-01,noelvtuber_,39
2025-04-01,noelvtuber_,23
2025-05-01,noelvtuber_,23
2025-06-01,noelvtuber_,22
2025-07-01,noelvtuber_,18
2025-08-01,noelvtuber_,19
2025-09-01,noelvtuber_,18
2024-07-01,amalia_goddes,9
2024-08-01,amalia_goddes,7
2024-10-01,amalia_goddes,10
2024-11-01,amalia_goddes,12
2024-12-01,amalia_goddes,12
2025-01-01,amalia_goddes,28
2025-02-01,amalia_goddes,25
2025-03-01,amalia_goddes,35
2025-04-01,amalia_goddes,49
2025-05-01,amalia_goddes,58
2025-06-01,amalia_goddes,50
2025-07-01,amalia_goddes,52
2025-08-01,amalia_goddes,48
2025-09-01,amalia_goddes,44
2025-10-01,amalia_goddes,34
2025-11-01,amalia_goddes,47
2025-12-01,amalia_goddes,57
2026-01-01,amalia_goddes,55
2026-02-01,amalia_goddes,56
2026-03-01,amalia_goddes,50
2026-04-01,amalia_goddes,43
2026-05-01,amalia_goddes,44
2026-06-01,amalia_goddes,42
2021-03-01,lerritay,31
2021-04-01,lerritay,88
2021-05-01,lerritay,143
2021-06-01,lerritay,187
2021-07-01,lerritay,243
2021-08-01,lerritay,686
2021-09-01,lerritay,466
2021-10-01,lerritay,458
2021-11-01,lerritay,417
2021-12-01,lerritay,433
2022-01-01,lerritay,587
2022-02-01,lerritay,609
2022-03-01,lerritay,420
2022-04-01,lerritay,351
2022-05-01,lerritay,389
2022-06-01,lerritay,462
2022-07-01,lerritay,557
2022-08-01,lerritay,587
2022-09-01,lerritay,460
2022-10-01,lerritay,444
2022-11-01,lerritay,497
2022-12-01,lerritay,475
2023-01-01,lerritay,485
2023-02-01,lerritay,315
2023-03-01,lerritay,424
2023-04-01,lerritay,493
2023-05-01,lerritay,508
2023-06-01,lerritay,362
2023-07-01,lerritay,370
2023-08-01,lerritay,337
2023-09-01,lerritay,333
2023-10-01,lerritay,296
2023-11-01,lerritay,315
2023-12-01,lerritay,302
2024-01-01,lerritay,263
2024-02-01,lerritay,303
2024-03-01,lerritay,300
2024-04-01,lerritay,280
2024-05-01,lerritay,334
2024-06-01,lerritay,285
2024-07-01,lerritay,308
2024-08-01,lerritay,304
2024-09-01,lerritay,306
2024-10-01,lerritay,278
2024-11-01,lerritay,259
2024-12-01,lerritay,303
2025-01-01,lerritay,324
2025-02-01,lerritay,297
2025-03-01,lerritay,388
2025-04-01,lerritay,265
2025-05-01,lerritay,233
2025-06-01,lerritay,256
2025-07-01,lerritay,233
2025-08-01,lerritay,195
2025-09-01,lerritay,187
